Nov 19, 2020  12:42:02 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


 38.90,   4.20E-008, 
 39.00,   4.68E-008, 
 39.10,   4.61E-008, 
 39.20,   4.52E-008, 
 39.30,   4.13E-008, 
 39.40,   2.47E-008, 
 39.50,   1.25E-008, 
 39.60,   2.50E-008, 
 39.70,   4.85E-008, 
 39.80,   6.54E-008, 
 39.90,   8.19E-008, 
 40.00,   8.13E-008, 
 40.10,   8.15E-008, 
 40.20,   7.38E-008, 
 40.30,   5.69E-008, 
 40.40,   2.21E-008, 
 40.50,   9.28E-009, 
 40.60,   1.12E-008, 
 40.70,   3.13E-008, 
 40.80,   4.86E-008, 
 40.90,   6.40E-008, 
 41.00,   7.34E-008, 
 41.10,   7.13E-008, 
 41.20,   7.00E-008, 
 41.30,   6.25E-008, 
 41.40,   3.74E-008, 
 41.50,   1.24E-008, 
 41.60,   1.05E-008, 
 41.70,   2.42E-008, 
 41.80,   3.68E-008, 
 41.90,   4.86E-008, 
 42.00,   5.45E-008, 
 42.10,   5.44E-008, 
 42.20,   5.30E-008, 
 42.30,   4.84E-008, 
 42.40,   2.85E-008, 
 42.50,   1.28E-008, 
 42.60,   1.75E-008, 
 42.70,   5.00E-008, 
 42.80,   7.49E-008, 
 42.90,   1.04E-007, 
 43.00,   1.20E-007, 
 43.10,   1.29E-007, 
 43.20,   1.37E-007, 
 43.30,   1.67E-007, 
 43.40,   1.73E-007, 
 43.50,   3.18E-007, 
 43.60,   1.49E-006, 
 43.70,   2.52E-006, 
 43.80,   3.12E-006, 
 43.90,   4.02E-006, 
 44.00,   3.81E-006, 
 44.10,   3.94E-006, 
 44.20,   3.35E-006, 
 44.30,   2.54E-006, 
 44.40,   3.35E-007, 
 44.50,   2.50E-008, 
 44.60,   1.81E-008, 
 44.70,   3.58E-008, 
 44.80,   4.87E-008, 
 44.90,   6.59E-008, 
 45.00,   7.02E-008, 
 45.10,   7.20E-008, 
 45.20,   6.58E-008, 
 45.30,   5.78E-008, 
 45.40,   2.47E-008, 
 45.50,   8.12E-009, 
 45.60,   5.19E-009, 
 45.70,   8.13E-009, 
 45.80,   1.12E-008, 
 45.90,   1.50E-008, 
 46.00,   1.68E-008, 
 46.10,   1.74E-008, 
 46.20,   1.68E-008, 
 46.30,   1.52E-008, 
 46.40,   8.51E-009, 
 46.50,   3.41E-009, 
 46.60,   1.67E-009, 
 46.70,   9.75E-010, 
 46.80,   7.99E-010, 
 46.90,   8.46E-010, 
 47.00,   8.51E-010, 
 47.10,   9.54E-010, 
 47.20,   1.18E-009, 
 47.30,   1.23E-009, 
 47.40,   1.17E-009, 
 47.50,   1.22E-009, 
 47.60,   3.04E-009, 
 47.70,   7.93E-009, 
 47.80,   1.23E-008, 
 47.90,   1.70E-008, 
 48.00,   1.90E-008, 
 48.10,   2.01E-008, 
 48.20,   1.89E-008, 
 48.30,   1.60E-008, 
 48.40,   7.32E-009, 
 48.50,   3.01E-009, 
 48.60,   1.36E-009, 
 48.70,   9.40E-010, 
 48.80,   8.70E-010, 
 48.90,   8.35E-010, 
 49.00,   1.01E-009, 
 49.10,   1.02E-009, 
 49.20,   1.07E-009, 
 49.30,   1.01E-009, 
 49.40,   6.90E-010, 
 49.50,   3.45E-010, 
 49.60,   4.95E-010, 
 49.70,   1.46E-009, 
 49.80,   2.56E-009, 
 49.90,   3.62E-009, 
 50.00,   4.78E-009, 
 50.10,   5.39E-009, 
 50.20,   5.56E-009, 
 50.30,   5.35E-009, 
 50.40,   3.62E-009, 
 50.50,   1.47E-009, 
 50.60,   8.11E-010, 
 50.70,   1.52E-009, 
 50.80,   2.33E-009, 
 50.90,   3.37E-009, 
 51.00,   4.16E-009, 
 51.10,   4.50E-009, 
 51.20,   4.69E-009, 
 51.30,   4.57E-009, 
 51.40,   3.46E-009, 
 51.50,   1.68E-009, 
 51.60,   9.49E-010, 
 51.70,   1.20E-009, 
 51.80,   1.81E-009, 
 51.90,   2.34E-009, 
 52.00,   2.82E-009, 
 52.10,   3.17E-009, 
 52.20,   3.36E-009, 
 52.30,   3.24E-009, 
 52.40,   2.66E-009, 
 52.50,   1.47E-009, 
