Nov 19, 2020  04:33:55 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


 45.80,   2.60E-007, 
 45.90,   2.91E-007, 
 46.00,   3.25E-007, 
 46.10,   3.04E-007, 
 46.20,   3.04E-007, 
 46.30,   1.50E-007, 
 46.40,   2.43E-008, 
 46.50,   7.32E-009, 
 46.60,   5.23E-009, 
 46.70,   6.22E-009, 
 46.80,   8.00E-009, 
 46.90,   9.83E-009, 
 47.00,   1.13E-008, 
 47.10,   1.19E-008, 
 47.20,   1.19E-008, 
 47.30,   9.55E-009, 
 47.40,   5.18E-009, 
 47.50,   4.32E-009, 
 47.60,   8.45E-009, 
 47.70,   1.43E-008, 
 47.80,   2.02E-008, 
 47.90,   2.42E-008, 
 48.00,   2.71E-008, 
 48.10,   2.64E-008, 
 48.20,   2.53E-008, 
 48.30,   1.45E-008, 
 48.40,   5.46E-009, 
 48.50,   2.46E-009, 
 48.60,   1.94E-009, 
 48.70,   2.43E-009, 
 48.80,   3.31E-009, 
 48.90,   4.11E-009, 
 49.00,   4.80E-009, 
 49.10,   5.03E-009, 
 49.20,   5.13E-009, 
 49.30,   4.13E-009, 
 49.40,   2.67E-009, 
 49.50,   2.86E-009, 
 49.60,   6.84E-009, 
 49.70,   1.43E-008, 
 49.80,   2.16E-008, 
 49.90,   2.72E-008, 
 50.00,   3.17E-008, 
 50.10,   3.26E-008, 
 50.20,   3.23E-008, 
 50.30,   2.29E-008, 
 50.40,   9.00E-009, 
 50.50,   4.14E-009, 
 50.60,   4.21E-009, 
 50.70,   5.93E-009, 
 50.80,   8.40E-009, 
 50.90,   1.07E-008, 
 51.00,   1.25E-008, 
 51.10,   1.31E-008, 
 51.20,   1.28E-008, 
 51.30,   1.08E-008, 
 51.40,   5.57E-009, 
 51.50,   3.19E-009, 
 51.60,   4.18E-009, 
 51.70,   6.79E-009, 
 51.80,   9.87E-009, 
 51.90,   1.24E-008, 
 52.00,   1.42E-008, 
 52.10,   1.47E-008, 
 52.20,   1.47E-008, 
 52.30,   1.18E-008, 
 52.40,   5.83E-009, 
 52.50,   2.95E-009, 
 52.60,   3.11E-009, 
