#date: 26.11.2020	time: 20:03:06
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
1.97230E+2	8.66529E-2	6.88472E-3	5.98671E-1	1.44742E-1	5.18766E-2	3.00805E+2
1.97944E+2	8.66489E-2	6.88170E-3	5.98409E-1	1.44799E-1	5.18515E-2	3.00908E+2
1.98663E+2	8.66798E-2	6.88449E-3	5.98651E-1	1.44792E-1	5.18910E-2	3.00896E+2
1.99383E+2	8.66399E-2	6.88213E-3	5.98446E-1	1.44775E-1	5.18493E-2	3.00864E+2
2.00103E+2	8.66672E-2	6.88229E-3	5.98460E-1	1.44817E-1	5.18668E-2	3.00941E+2
2.00830E+2	8.67004E-2	6.88705E-3	5.98874E-1	1.44772E-1	5.19226E-2	3.00860E+2
2.01549E+2	8.66996E-2	6.88565E-3	5.98752E-1	1.44801E-1	5.19115E-2	3.00911E+2
2.02270E+2	8.85872E-2	7.03125E-3	6.11413E-1	1.44889E-1	5.41634E-2	3.01073E+2
2.02990E+2	9.60733E-2	7.62712E-3	6.63228E-1	1.44857E-1	6.37185E-2	3.01014E+2
2.03711E+2	9.60879E-2	7.62728E-3	6.63241E-1	1.44876E-1	6.37295E-2	3.01049E+2
2.04429E+2	9.60877E-2	7.62408E-3	6.62964E-1	1.44937E-1	6.37027E-2	3.01159E+2
2.05143E+2	9.60495E-2	7.62334E-3	6.62899E-1	1.44893E-1	6.36711E-2	3.01080E+2
2.05863E+2	9.60628E-2	7.62396E-3	6.62953E-1	1.44901E-1	6.36851E-2	3.01095E+2
2.06583E+2	9.60653E-2	7.62288E-3	6.62860E-1	1.44926E-1	6.36778E-2	3.01139E+2
2.07309E+2	9.60938E-2	7.62533E-3	6.63072E-1	1.44922E-1	6.37171E-2	3.01132E+2
2.08030E+2	9.60892E-2	7.62168E-3	6.62755E-1	1.44984E-1	6.36836E-2	3.01246E+2
2.08750E+2	9.61013E-2	7.62390E-3	6.62948E-1	1.44961E-1	6.37102E-2	3.01202E+2
2.09469E+2	9.60966E-2	7.62431E-3	6.62984E-1	1.44946E-1	6.37105E-2	3.01175E+2
