#date: 26.11.2020	time: 20:46:11
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
2.61059E+2	2.78118E+0	1.95790E-2	1.70253E+0	1.63356E+0	4.73503E+0	4.10531E+2
2.61748E+2	2.78256E+0	1.95797E-2	1.70259E+0	1.63431E+0	4.73754E+0	4.10720E+2
2.62468E+2	2.78330E+0	1.95789E-2	1.70251E+0	1.63482E+0	4.73860E+0	4.10847E+2
2.63189E+2	2.78344E+0	1.95801E-2	1.70262E+0	1.63480E+0	4.73912E+0	4.10843E+2
2.63910E+2	2.89413E+0	2.03034E-2	1.76552E+0	1.63926E+0	5.10964E+0	4.11963E+2
2.64628E+2	3.03327E+0	2.11076E-2	1.83545E+0	1.65261E+0	5.56740E+0	4.15319E+2
2.65348E+2	3.15925E+0	2.18207E-2	1.89745E+0	1.66499E+0	5.99451E+0	4.18433E+2
2.66058E+2	3.28539E+0	2.23426E-2	1.94283E+0	1.69103E+0	6.38295E+0	4.24978E+2
2.66778E+2	3.39011E+0	2.26309E-2	1.96791E+0	1.72270E+0	6.67143E+0	4.32939E+2
2.67498E+2	3.42629E+0	2.25693E-2	1.96255E+0	1.74583E+0	6.72427E+0	4.38755E+2
2.68197E+2	3.46330E+0	2.25715E-2	1.96274E+0	1.76452E+0	6.79755E+0	4.43453E+2
2.68908E+2	3.49102E+0	2.25715E-2	1.96274E+0	1.77865E+0	6.85196E+0	4.47003E+2
2.69628E+2	3.51048E+0	2.25695E-2	1.96257E+0	1.78872E+0	6.88956E+0	4.49535E+2
2.70348E+2	3.52547E+0	2.25699E-2	1.96260E+0	1.79633E+0	6.91908E+0	4.51448E+2
2.71067E+2	3.53644E+0	2.25701E-2	1.96262E+0	1.80190E+0	6.94069E+0	4.52849E+2
2.71787E+2	3.54520E+0	2.25719E-2	1.96277E+0	1.80622E+0	6.95842E+0	4.53934E+2
2.72498E+2	3.54949E+0	2.25705E-2	1.96265E+0	1.80852E+0	6.96641E+0	4.54512E+2
2.73218E+2	3.55661E+0	2.25703E-2	1.96263E+0	1.81216E+0	6.98033E+0	4.55429E+2
2.73937E+2	3.56266E+0	2.25718E-2	1.96276E+0	1.81512E+0	6.99266E+0	4.56173E+2
2.74657E+2	3.56706E+0	2.25700E-2	1.96260E+0	1.81751E+0	7.00073E+0	4.56774E+2
2.75378E+2	3.56910E+0	2.25722E-2	1.96280E+0	1.81837E+0	7.00541E+0	4.56989E+2
2.76087E+2	3.56940E+0	2.25719E-2	1.96277E+0	1.81855E+0	7.00593E+0	4.57034E+2
2.76808E+2	3.57218E+0	2.25711E-2	1.96271E+0	1.82003E+0	7.01114E+0	4.57406E+2
2.77528E+2	3.57501E+0	2.25702E-2	1.96263E+0	1.82154E+0	7.01640E+0	4.57787E+2
2.78247E+2	3.57841E+0	2.25720E-2	1.96278E+0	1.82314E+0	7.02363E+0	4.58187E+2
2.78957E+2	3.57994E+0	2.25719E-2	1.96278E+0	1.82392E+0	7.02662E+0	4.58383E+2
2.79677E+2	3.58136E+0	2.25711E-2	1.96270E+0	1.82471E+0	7.02914E+0	4.58583E+2
2.80397E+2	3.58257E+0	2.25702E-2	1.96263E+0	1.82540E+0	7.03126E+0	4.58755E+2
2.81116E+2	3.58270E+0	2.25704E-2	1.96264E+0	1.82545E+0	7.03155E+0	4.58768E+2
2.81836E+2	3.58357E+0	2.25697E-2	1.96258E+0	1.82595E+0	7.03304E+0	4.58894E+2
2.82556E+2	3.58556E+0	2.25706E-2	1.96266E+0	1.82689E+0	7.03723E+0	4.59130E+2
2.83266E+2	3.58490E+0	2.25711E-2	1.96270E+0	1.82651E+0	7.03608E+0	4.59036E+2
2.83987E+2	3.58421E+0	2.25723E-2	1.96281E+0	1.82607E+0	7.03511E+0	4.58924E+2
