#date: 26.11.2020	time: 19:16:50
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
4.07643E+2	1.66955E-4	1.92139E-6	1.60116E-4	1.04271E+0	2.67321E-8	-9.29605E+1
4.08363E+2	1.64123E-4	3.39445E-7	2.82871E-5	5.80206E+0	4.64257E-9	1.25318E+2
4.09082E+2	1.59537E-4	2.35345E-6	1.96121E-4	8.13462E-1	3.12885E-8	-1.03475E+2
4.09802E+2	1.57135E-4	1.63703E-6	1.36419E-4	1.15185E+0	2.14362E-8	-8.79552E+1
4.10463E+2	1.54319E-4	1.15751E-6	9.64595E-5	1.59983E+0	1.48856E-8	-6.74092E+1
4.11061E+2	1.51552E-4	1.74423E-6	1.45352E-4	1.04265E+0	2.20284E-8	-9.29633E+1
4.11662E+2	1.48529E-4	1.04204E-6	8.68367E-5	1.71044E+0	1.28978E-8	-6.23362E+1
4.12372E+2	1.46020E-4	1.43959E-6	1.19966E-4	1.21718E+0	1.75175E-8	-8.49589E+1
4.13093E+2	1.42974E-4	2.42234E-6	2.01862E-4	7.08278E-1	2.88610E-8	-1.08299E+2
4.13813E+2	1.40740E-4	1.91700E-6	1.59750E-4	8.81003E-1	2.24832E-8	-1.00377E+2
4.14533E+2	1.37329E-4	1.79946E-6	1.49955E-4	9.15801E-1	2.05931E-8	-9.87811E+1
4.15252E+2	1.35296E-4	2.01138E-6	1.67615E-4	8.07180E-1	2.26776E-8	-1.03763E+2
4.15973E+2	1.32831E-4	2.07420E-6	1.72850E-4	7.68473E-1	2.29598E-8	-1.05538E+2
4.16682E+2	1.30388E-4	1.10239E-6	9.18661E-5	1.41932E+0	1.19782E-8	-7.56880E+1
4.17402E+2	1.27951E-4	1.92049E-6	1.60041E-4	7.99490E-1	2.04773E-8	-1.04115E+2
